歌名,歌手,語言,音圓代號,金嗓代號,弘音代號,YouTube,備註
天際,,,431197,,,,
去有風的地方,,,410294,,,,
招弟,喬幼,台語,46141,05337,,,
雨蝶,,,4569,,,,
來人間走個過場,,,431174,,,,
藍眼淚,揚蔓,國語,43953,01625,,,
攙扶,,華語,431542,,,,
姊姊妹妹站起來,陶品瑩,國語,,31032,,,
站起來的勇氣,陳文生,台語,,07220,,,
彈吉他的人人,郭金發,台語,,28561,,,
綿綿戀愛夢,張蓉蓉,台語,,56358,,,
傷心,,,,,,,
傷心的車站,黃乙玲,台語,,35931,,,
● 四面楚歌 國 周杰倫 梭,,Unknown,50150,,,,
一個人,,,,,,,
一次就好,蕭敬騰,國語,,,,https://youtu.be/tuohHebvuJI?si=0cGREOkKOABAFAMo,
藍眼淚,楊蔓,,,35080,,https://youtu.be/0WlMVke_T8E?si=Qa-02wVySJKgTMKK,
起風了,吳青峰,,,59793,,https://youtu.be/ru5pYT_e7W4?si=YwMFMCVpFZJGWJ2u,
滾滾紅塵,陳淑樺,,,11381,,,
你的答案,阿冗,,,59985,,,
撕夜,阿杜,,,56537,,,
再見,張震嶽,,,30319,,https://youtu.be/WmaCotfuqwk?si=3CdCypHkvZYDGnHV,
菩提樹下我會你流淚,,,,,,https://youtu.be/q2Wm5wg8bcA?si=x_fQdKryrRPMEn6n,
