歌名,歌手,語言,音圓代號,金嗓代號,弘音代號,集數,備註
02,,華語,602440,,,3005,
1998,,華語,603338,,,3019,
20.30.40,Soul,國語,3731,,,1106,
30㎡,,華語,603804,,,3027,
5秒19,,華語,603940,,,3025,
881寂寞,何耀珊 梭,國語,3959,,,1118,
96%,,華語,602780,,,3011,
97/06/25,,Unknown,50021,,,1132; 1133; 1135; 1136,
97/08/25,,Unknown,50112,,,1138; 1139; 1140,
Alright,蜜雪薇琪 梭,國語,3798,,,1109,
Amour,梁詠琪 華爾滋,國語,3827,,,1121,
Bad Tony,,華語,603016,,,3013,
Because Anyway,,台語,201034,,,1352,
Because It's You,張勛傑 勃露斯,國語,3829,,,1124,
Bed Time Story,陳偉達 勃露斯,國語,3894,,,1109,
Being So Long,,台語,603286,,,3019,
Butterfly,,華語,602179,,,3006,
CALL IN你的心,林晏如 華爾滋,台語,6886,,,1119,
Can't Stop肯定是他,豬段桃,國語,3700,,,1018,
Come On Come On光速飛翔,莫文蔚 梭,國語,4004,,,1123,
DANCE,,華語,603226,,,3019,
DOREMI,旺福 梭,國語,5959,,,1132,
Don't Cry,,台語,202400,,,1321,
Don't Tell Me Why,彭佳慧 梭,國語,3715,,,1118,
Feel Good,陳嘉唯 梭,國語,3732,,,1112,
Follow You 梭 童隆豪,,台語,603252,,,3019,
For You,勃露斯,國語,5566,,,1127,
Get High,F.I.R 梭,國語,3951,,,1117,
High High High,,台語,203094,,,1346,
Hold me tight,小辣椒 梭,國語,3402,,,1111,
How can I do,,華語,603230,,,3021,
Hurt Inside,,華語,603262,,,3020,
I Am Who I Am,光良 勃露斯,國語,4005,,,1135,
I Think I,范瑋琪,國語,4061,,,1104,
I always believe,,華語,200803,,,1328,
I missing you,,華語,602841,,,3009,
I wanna know,,華語,603326,,,3019,
I'm So Hot,183 Club 梭,國語,3960,,,1125,
If You Love Me,豬段桃,國語,3697,,,1018,
Inside My Heart,范瑋琪 勃露斯,國語,4010,,,1128,
Julia,王力宏 梭,國語,3931,,,1120,
Kissy,蜜雪薇琪 勃露斯,國語,3626,,,1110,
Let's Vino,孫燕姿 梭,國語,3799,,,1114,
Little Darling,林國榮,國語,3707,,,1102,
Live酒館 300秒,張懸 勃露斯,國語,4012,,,1121,
Love Again,,華語,602431,,,3005,
Love Story,范逸臣 勃露斯,國語,3966,,,1124,
Love story,,台語,603253,,,3020,
Loving You,李崗霖 勃露斯,國語,3753,,,1118,
MY PEACH GIRL,,華語,603303,,,3020,
Magic Room,183Club 梭,國語,3940,,,1121,
Miss you,,華語,603231,,,3022,
Mr. Lee你往那裡去,周治平,國語,3554,,,1017,
Mr. Q,蔡依林 梭,國語,5896,,,1121,
Music All Night,林曉培 勃露斯,國語,5058,,,1125,
My Dear,,華語,602590,,,3004,
My Life Will,張懸 梭,國語,4013,,,1128,
Never leave,,華語,603540,,,3021,
Nothing My Friend,豬段桃,國語,3698,,,1018,
Now is the time,,華語,200902,,,1351,
ONLY ONE,順子,國語,3782,,,1103,
Ready For Love,張柏芝,國語,3696,,,1018,
Remember,,台語,603254,,,3020,
SAKURA之戀,,國語,201767,,,1315,
SCREAM,JS 梭,國語,4015,,,1124,
Say I Love You Tonight,,台語,201031,,,1342,
Say Love You,,華語,603437,,,3021,
Say U Love Me,Lara/Jason 梭,國語,3048,,,1138,
Scream,張懸 勃露斯,國語,3830,,,1124,
Shabu Shabu,2 MORO 迪斯可,國語,3955,,,1117,
Somebody,霍建華 勃露斯,國語,3939,,,1123,
Spoil me,,華語,603278,,,3019,
Stefanie,孫燕姿 梭,國語,3855,,,1115,
TA,,華語,602193,,,3003,
The Moment,孫燕姿 勃露斯,國語,3856,,,1115,
The sad song of love,,華語,603523,,,3020,
What is love,,華語,201048,,,1353,
What's your name,,華語,603184,,,3015,
When you cry,,華語,201228,,,1354,
You Know My Name,,台語,201230,,,1348,
Your Heart My Heart,張棟樑 勃露斯,國語,4062,,,1118,
call-in女人心,一綾 勃露斯,台語,6843,,,1134,
grow up,,華語,603302,,,3019,
love,,華語,603443,,,3022,
sweet baby,,華語,602510,,,3006,
○,,客語,23451,,,0003,
○ 陳莉 恰恰,,客語,23452,,,0003,
○ 陳莉 探戈,,客語,23461,,,0003,
○ 陳莉/石喬 吉力巴,光良,客語,23456,,,0003,
○ 陳莉/石喬 迪斯可,,客語,23462,,,0003,
●,,Unknown,19415,,,1120; 1126; 1127; 1128; 1129; 1132; 1133; 1135; 1136; 1138; 1139; 1140,
● S.H.E 梭 H.B.O 英,,Unknown,50122,,,1140,
● Say U Love Me 國 Lara/Jason 梭 3048 ●,,Unknown,50135,,,1138,
● Stefanie 國 孫燕姿 梭 3855 ●,,Unknown,19414,,,1115,
● 你懂不懂 國 陳思安 恰恰,,Unknown,50137,,,1132,
● 你永遠不要告訴我 國 潘麗鈞 探戈 5965 ●,,Unknown,50085,,,1138,
● 劉亦菲 洛克 4034 泡芙女孩 國 ●,,Unknown,50012,,,1128,
● 勇敢去愛 國 K One 梭,,Unknown,50157,,,1135,
● 吳克群 梭,,Unknown,50077,,,1132,
● 吳宗憲 梭,,Unknown,50125,,,1135,
● 吳宗憲 梭 耍花樣 國 3063 ●,,Unknown,50002,,,1132,
● 周杰倫 梭 3567 印地安老斑鳩 國 ●,,Unknown,50033,,,1136,
● 周杰倫 梭 懦夫 國,,Unknown,50065,,,1132,
● 周杰倫 梭 雙截棍 國,,Unknown,50331,,,1136,
